,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,29.0,1000,0.9150616000042646,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",True,1000,0.25,4096
1,1,19.0,2002,2.6621863000036683,"[30.0, 1.0, 1.0, 12.0, 22.0, 1.0, 11.0, 22.0, 29.0, 4.0, 18.0, 24.0, 15.0, 9.0, 6.0, 20.0, 4.0, 15.0, 24.0, 0.0, 20.0, 10.0, 23.0, 13.0, 28.0, 16.0, 6.0, 9.0, 20.0, 2.0, 27.0, 7.0]",True,1000,0.25,4096
2,2,19.0,3003,4.282271800002491,"[30.0, 1.0, 1.0, 12.0, 22.0, 1.0, 11.0, 22.0, 29.0, 4.0, 18.0, 24.0, 15.0, 9.0, 6.0, 20.0, 4.0, 15.0, 24.0, 0.0, 20.0, 10.0, 23.0, 13.0, 28.0, 16.0, 6.0, 9.0, 20.0, 2.0, 27.0, 7.0]",True,1000,0.25,4096
3,4,16.0,5006,7.657205800001975,"[18.0, 21.0, 23.0, 3.0, 11.0, 24.0, 24.0, 29.0, 18.0, 5.0, 22.0, 5.0, 28.0, 12.0, 9.0, 29.0, 4.0, 25.0, 1.0, 0.0, 11.0, 10.0, 2.0, 14.0, 16.0, 2.0, 28.0, 19.0, 31.0, 23.0, 27.0, 7.0]",True,1000,0.25,4096
4,8,14.0,9012,14.442498100004741,"[4.0, 14.0, 1.0, 18.0, 21.0, 23.0, 16.0, 1.0, 29.0, 9.0, 30.0, 25.0, 31.0, 19.0, 21.0, 20.0, 28.0, 17.0, 20.0, 5.0, 15.0, 30.0, 7.0, 6.0, 25.0, 12.0, 24.0, 3.0, 28.0, 26.0, 11.0, 0.0]",True,1000,0.25,4096
5,16,7.0,17025,29.03231720000622,"[11.0, 13.0, 16.0, 27.0, 30.0, 4.0, 6.0, 15.0, 9.0, 11.0, 28.0, 5.0, 28.0, 10.0, 18.0, 20.0, 0.0, 7.0, 25.0, 26.0, 29.0, 31.0, 1.0, 8.0, 2.0, 0.0, 3.0, 14.0, 22.0, 17.0, 12.0, 24.0]",True,1000,0.25,4096
6,32,7.0,33041,72.19083959999989,"[11.0, 13.0, 16.0, 27.0, 30.0, 4.0, 6.0, 15.0, 9.0, 11.0, 28.0, 5.0, 28.0, 10.0, 18.0, 20.0, 0.0, 7.0, 25.0, 26.0, 29.0, 31.0, 1.0, 8.0, 2.0, 0.0, 3.0, 14.0, 22.0, 17.0, 12.0, 24.0]",True,1000,0.25,4096
7,64,7.0,65073,167.76623290000134,"[11.0, 13.0, 16.0, 27.0, 30.0, 4.0, 6.0, 15.0, 9.0, 11.0, 28.0, 5.0, 28.0, 10.0, 18.0, 20.0, 0.0, 7.0, 25.0, 26.0, 29.0, 31.0, 1.0, 8.0, 2.0, 0.0, 3.0, 14.0, 22.0, 17.0, 12.0, 24.0]",True,1000,0.25,4096
8,128,7.0,129137,361.4416435000021,"[11.0, 13.0, 16.0, 27.0, 30.0, 4.0, 6.0, 15.0, 9.0, 11.0, 28.0, 5.0, 28.0, 10.0, 18.0, 20.0, 0.0, 7.0, 25.0, 26.0, 29.0, 31.0, 1.0, 8.0, 2.0, 0.0, 3.0, 14.0, 22.0, 17.0, 12.0, 24.0]",True,1000,0.25,4096
9,256,6.0,257266,758.0996699000025,"[13.0, 13.0, 16.0, 27.0, 30.0, 4.0, 6.0, 15.0, 9.0, 11.0, 28.0, 30.0, 28.0, 10.0, 18.0, 20.0, 0.0, 7.0, 25.0, 14.0, 29.0, 31.0, 1.0, 8.0, 2.0, 0.0, 3.0, 10.0, 22.0, 17.0, 12.0, 23.0]",True,1000,0.25,4096
10,512,6.0,361370,1082.9074966000044,"[13.0, 13.0, 16.0, 27.0, 30.0, 4.0, 6.0, 15.0, 9.0, 11.0, 28.0, 30.0, 28.0, 10.0, 18.0, 20.0, 0.0, 7.0, 25.0, 14.0, 29.0, 31.0, 1.0, 8.0, 2.0, 0.0, 3.0, 10.0, 22.0, 17.0, 12.0, 23.0]",True,1000,0.25,4096
11,1024,6.0,361370,1082.9074966000044,"[13.0, 13.0, 16.0, 27.0, 30.0, 4.0, 6.0, 15.0, 9.0, 11.0, 28.0, 30.0, 28.0, 10.0, 18.0, 20.0, 0.0, 7.0, 25.0, 14.0, 29.0, 31.0, 1.0, 8.0, 2.0, 0.0, 3.0, 10.0, 22.0, 17.0, 12.0, 23.0]",True,1000,0.25,4096
12,2048,6.0,361370,1082.9074966000044,"[13.0, 13.0, 16.0, 27.0, 30.0, 4.0, 6.0, 15.0, 9.0, 11.0, 28.0, 30.0, 28.0, 10.0, 18.0, 20.0, 0.0, 7.0, 25.0, 14.0, 29.0, 31.0, 1.0, 8.0, 2.0, 0.0, 3.0, 10.0, 22.0, 17.0, 12.0, 23.0]",True,1000,0.25,4096
13,4096,6.0,361370,1082.9074966000044,"[13.0, 13.0, 16.0, 27.0, 30.0, 4.0, 6.0, 15.0, 9.0, 11.0, 28.0, 30.0, 28.0, 10.0, 18.0, 20.0, 0.0, 7.0, 25.0, 14.0, 29.0, 31.0, 1.0, 8.0, 2.0, 0.0, 3.0, 10.0, 22.0, 17.0, 12.0, 23.0]",True,1000,0.25,4096
14,0,29.0,1000,0.9008027999952901,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",True,1000,0.5,4096
15,1,18.0,2002,3.1104304999971646,"[10.0, 20.0, 21.0, 31.0, 0.0, 1.0, 9.0, 29.0, 25.0, 20.0, 10.0, 13.0, 30.0, 12.0, 8.0, 27.0, 29.0, 4.0, 22.0, 24.0, 3.0, 18.0, 13.0, 18.0, 14.0, 29.0, 26.0, 2.0, 27.0, 27.0, 6.0, 17.0]",True,1000,0.5,4096
16,2,18.0,3003,5.21756219999952,"[10.0, 20.0, 21.0, 31.0, 0.0, 1.0, 9.0, 29.0, 25.0, 20.0, 10.0, 13.0, 30.0, 12.0, 8.0, 27.0, 29.0, 4.0, 22.0, 24.0, 3.0, 18.0, 13.0, 18.0, 14.0, 29.0, 26.0, 2.0, 27.0, 27.0, 6.0, 17.0]",True,1000,0.5,4096
17,4,17.0,5006,9.721404999996594,"[1.0, 28.0, 6.0, 6.0, 30.0, 20.0, 11.0, 13.0, 30.0, 27.0, 5.0, 8.0, 4.0, 0.0, 7.0, 0.0, 17.0, 20.0, 29.0, 8.0, 3.0, 9.0, 18.0, 3.0, 26.0, 19.0, 1.0, 31.0, 5.0, 23.0, 21.0, 3.0]",True,1000,0.5,4096
18,8,16.0,9011,18.414181699998153,"[4.0, 13.0, 18.0, 26.0, 20.0, 6.0, 31.0, 31.0, 28.0, 9.0, 12.0, 29.0, 25.0, 30.0, 1.0, 12.0, 23.0, 2.0, 31.0, 27.0, 16.0, 7.0, 31.0, 29.0, 27.0, 16.0, 8.0, 27.0, 0.0, 9.0, 5.0, 19.0]",True,1000,0.5,4096
19,16,11.0,17020,35.86233329999959,"[22.0, 25.0, 17.0, 7.0, 1.0, 19.0, 6.0, 10.0, 17.0, 5.0, 28.0, 0.0, 28.0, 21.0, 19.0, 8.0, 29.0, 11.0, 29.0, 31.0, 7.0, 9.0, 27.0, 29.0, 4.0, 16.0, 9.0, 24.0, 20.0, 30.0, 25.0, 13.0]",True,1000,0.5,4096
20,32,11.0,33036,75.23178299999563,"[22.0, 25.0, 17.0, 7.0, 1.0, 19.0, 6.0, 10.0, 17.0, 5.0, 28.0, 0.0, 28.0, 21.0, 19.0, 8.0, 29.0, 11.0, 29.0, 31.0, 7.0, 9.0, 27.0, 29.0, 4.0, 16.0, 9.0, 24.0, 20.0, 30.0, 25.0, 13.0]",True,1000,0.5,4096
21,64,11.0,65068,174.96858619999693,"[22.0, 25.0, 17.0, 7.0, 1.0, 19.0, 6.0, 10.0, 17.0, 5.0, 28.0, 0.0, 28.0, 21.0, 19.0, 8.0, 29.0, 11.0, 29.0, 31.0, 7.0, 9.0, 27.0, 29.0, 4.0, 16.0, 9.0, 24.0, 20.0, 30.0, 25.0, 13.0]",True,1000,0.5,4096
22,128,11.0,129132,377.43050379999477,"[22.0, 25.0, 17.0, 7.0, 1.0, 19.0, 6.0, 10.0, 17.0, 5.0, 28.0, 0.0, 28.0, 21.0, 19.0, 8.0, 29.0, 11.0, 29.0, 31.0, 7.0, 9.0, 27.0, 29.0, 4.0, 16.0, 9.0, 24.0, 20.0, 30.0, 25.0, 13.0]",True,1000,0.5,4096
23,256,11.0,212215,640.029916499996,"[22.0, 25.0, 17.0, 7.0, 1.0, 19.0, 6.0, 10.0, 17.0, 5.0, 28.0, 0.0, 28.0, 21.0, 19.0, 8.0, 29.0, 11.0, 29.0, 31.0, 7.0, 9.0, 27.0, 29.0, 4.0, 16.0, 9.0, 24.0, 20.0, 30.0, 25.0, 13.0]",True,1000,0.5,4096
24,512,11.0,212215,640.029916499996,"[22.0, 25.0, 17.0, 7.0, 1.0, 19.0, 6.0, 10.0, 17.0, 5.0, 28.0, 0.0, 28.0, 21.0, 19.0, 8.0, 29.0, 11.0, 29.0, 31.0, 7.0, 9.0, 27.0, 29.0, 4.0, 16.0, 9.0, 24.0, 20.0, 30.0, 25.0, 13.0]",True,1000,0.5,4096
25,1024,11.0,212215,640.029916499996,"[22.0, 25.0, 17.0, 7.0, 1.0, 19.0, 6.0, 10.0, 17.0, 5.0, 28.0, 0.0, 28.0, 21.0, 19.0, 8.0, 29.0, 11.0, 29.0, 31.0, 7.0, 9.0, 27.0, 29.0, 4.0, 16.0, 9.0, 24.0, 20.0, 30.0, 25.0, 13.0]",True,1000,0.5,4096
26,2048,11.0,212215,640.029916499996,"[22.0, 25.0, 17.0, 7.0, 1.0, 19.0, 6.0, 10.0, 17.0, 5.0, 28.0, 0.0, 28.0, 21.0, 19.0, 8.0, 29.0, 11.0, 29.0, 31.0, 7.0, 9.0, 27.0, 29.0, 4.0, 16.0, 9.0, 24.0, 20.0, 30.0, 25.0, 13.0]",True,1000,0.5,4096
27,4096,11.0,212215,640.029916499996,"[22.0, 25.0, 17.0, 7.0, 1.0, 19.0, 6.0, 10.0, 17.0, 5.0, 28.0, 0.0, 28.0, 21.0, 19.0, 8.0, 29.0, 11.0, 29.0, 31.0, 7.0, 9.0, 27.0, 29.0, 4.0, 16.0, 9.0, 24.0, 20.0, 30.0, 25.0, 13.0]",True,1000,0.5,4096
28,0,29.0,1000,0.8939131000006455,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",True,1000,0.75,4096
29,1,18.0,2002,3.557799000001978,"[24.0, 4.0, 12.0, 20.0, 17.0, 7.0, 0.0, 26.0, 12.0, 29.0, 11.0, 22.0, 7.0, 19.0, 27.0, 1.0, 1.0, 1.0, 23.0, 6.0, 14.0, 2.0, 9.0, 6.0, 27.0, 23.0, 28.0, 3.0, 8.0, 21.0, 20.0, 13.0]",True,1000,0.75,4096
30,2,18.0,3003,6.174892999995791,"[24.0, 4.0, 12.0, 20.0, 17.0, 7.0, 0.0, 26.0, 12.0, 29.0, 11.0, 22.0, 7.0, 19.0, 27.0, 1.0, 1.0, 1.0, 23.0, 6.0, 14.0, 2.0, 9.0, 6.0, 27.0, 23.0, 28.0, 3.0, 8.0, 21.0, 20.0, 13.0]",True,1000,0.75,4096
31,4,17.0,5006,11.390595500000927,"[11.0, 29.0, 4.0, 28.0, 24.0, 23.0, 29.0, 8.0, 16.0, 10.0, 27.0, 29.0, 27.0, 23.0, 26.0, 21.0, 19.0, 31.0, 12.0, 3.0, 25.0, 6.0, 22.0, 20.0, 1.0, 1.0, 8.0, 30.0, 24.0, 0.0, 18.0, 1.0]",True,1000,0.75,4096
32,8,17.0,9010,21.918655699999363,"[11.0, 29.0, 4.0, 28.0, 24.0, 23.0, 29.0, 8.0, 16.0, 10.0, 27.0, 29.0, 27.0, 23.0, 26.0, 21.0, 19.0, 31.0, 12.0, 3.0, 25.0, 6.0, 22.0, 20.0, 1.0, 1.0, 8.0, 30.0, 24.0, 0.0, 18.0, 1.0]",True,1000,0.75,4096
33,16,14.0,17019,43.270664199997555,"[10.0, 30.0, 21.0, 0.0, 24.0, 3.0, 13.0, 2.0, 17.0, 9.0, 6.0, 16.0, 23.0, 16.0, 3.0, 27.0, 18.0, 18.0, 25.0, 12.0, 7.0, 25.0, 28.0, 18.0, 9.0, 1.0, 12.0, 5.0, 28.0, 11.0, 29.0, 8.0]",True,1000,0.75,4096
34,32,13.0,33036,86.71996429999854,"[17.0, 3.0, 10.0, 27.0, 24.0, 11.0, 19.0, 13.0, 0.0, 28.0, 25.0, 16.0, 26.0, 8.0, 0.0, 27.0, 20.0, 27.0, 22.0, 0.0, 23.0, 30.0, 29.0, 24.0, 31.0, 1.0, 12.0, 2.0, 21.0, 17.0, 9.0, 31.0]",True,1000,0.75,4096
35,64,11.0,65070,176.9920134999993,"[19.0, 14.0, 26.0, 5.0, 7.0, 15.0, 12.0, 10.0, 31.0, 23.0, 25.0, 2.0, 13.0, 21.0, 30.0, 9.0, 0.0, 24.0, 5.0, 26.0, 29.0, 17.0, 4.0, 6.0, 3.0, 17.0, 3.0, 17.0, 3.0, 18.0, 28.0, 24.0]",True,1000,0.75,4096
36,128,11.0,129134,380.19759099999646,"[19.0, 14.0, 26.0, 5.0, 7.0, 15.0, 12.0, 10.0, 31.0, 23.0, 25.0, 2.0, 13.0, 21.0, 30.0, 9.0, 0.0, 24.0, 5.0, 26.0, 29.0, 17.0, 4.0, 6.0, 3.0, 17.0, 3.0, 17.0, 3.0, 18.0, 28.0, 24.0]",True,1000,0.75,4096
37,256,11.0,253258,773.0013264000008,"[19.0, 14.0, 26.0, 5.0, 7.0, 15.0, 12.0, 10.0, 31.0, 23.0, 25.0, 2.0, 13.0, 21.0, 30.0, 9.0, 0.0, 24.0, 5.0, 26.0, 29.0, 17.0, 4.0, 6.0, 3.0, 17.0, 3.0, 17.0, 3.0, 18.0, 28.0, 24.0]",True,1000,0.75,4096
38,512,11.0,253258,773.0013264000008,"[19.0, 14.0, 26.0, 5.0, 7.0, 15.0, 12.0, 10.0, 31.0, 23.0, 25.0, 2.0, 13.0, 21.0, 30.0, 9.0, 0.0, 24.0, 5.0, 26.0, 29.0, 17.0, 4.0, 6.0, 3.0, 17.0, 3.0, 17.0, 3.0, 18.0, 28.0, 24.0]",True,1000,0.75,4096
39,1024,11.0,253258,773.0013264000008,"[19.0, 14.0, 26.0, 5.0, 7.0, 15.0, 12.0, 10.0, 31.0, 23.0, 25.0, 2.0, 13.0, 21.0, 30.0, 9.0, 0.0, 24.0, 5.0, 26.0, 29.0, 17.0, 4.0, 6.0, 3.0, 17.0, 3.0, 17.0, 3.0, 18.0, 28.0, 24.0]",True,1000,0.75,4096
40,2048,11.0,253258,773.0013264000008,"[19.0, 14.0, 26.0, 5.0, 7.0, 15.0, 12.0, 10.0, 31.0, 23.0, 25.0, 2.0, 13.0, 21.0, 30.0, 9.0, 0.0, 24.0, 5.0, 26.0, 29.0, 17.0, 4.0, 6.0, 3.0, 17.0, 3.0, 17.0, 3.0, 18.0, 28.0, 24.0]",True,1000,0.75,4096
41,4096,11.0,253258,773.0013264000008,"[19.0, 14.0, 26.0, 5.0, 7.0, 15.0, 12.0, 10.0, 31.0, 23.0, 25.0, 2.0, 13.0, 21.0, 30.0, 9.0, 0.0, 24.0, 5.0, 26.0, 29.0, 17.0, 4.0, 6.0, 3.0, 17.0, 3.0, 17.0, 3.0, 18.0, 28.0, 24.0]",True,1000,0.75,4096
42,0,29.0,2000,1.7759054999987711,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",True,2000,0.25,4096
43,1,18.0,4002,5.0530564000000595,"[22.0, 10.0, 29.0, 16.0, 3.0, 10.0, 7.0, 20.0, 3.0, 5.0, 24.0, 26.0, 15.0, 4.0, 18.0, 15.0, 21.0, 6.0, 27.0, 30.0, 1.0, 5.0, 31.0, 31.0, 28.0, 0.0, 8.0, 12.0, 29.0, 22.0, 13.0, 2.0]",True,2000,0.25,4096
44,2,16.0,6004,8.157838899998751,"[16.0, 14.0, 1.0, 8.0, 18.0, 26.0, 15.0, 6.0, 28.0, 31.0, 17.0, 13.0, 4.0, 24.0, 5.0, 13.0, 13.0, 25.0, 8.0, 20.0, 0.0, 22.0, 3.0, 10.0, 3.0, 7.0, 20.0, 1.0, 23.0, 4.0, 5.0, 29.0]",True,2000,0.25,4096
45,4,16.0,10006,14.536244499999157,"[16.0, 14.0, 1.0, 8.0, 18.0, 26.0, 15.0, 6.0, 28.0, 31.0, 17.0, 13.0, 4.0, 24.0, 5.0, 13.0, 13.0, 25.0, 8.0, 20.0, 0.0, 22.0, 3.0, 10.0, 3.0, 7.0, 20.0, 1.0, 23.0, 4.0, 5.0, 29.0]",True,2000,0.25,4096
46,8,16.0,18010,27.02155749999656,"[16.0, 14.0, 1.0, 8.0, 18.0, 26.0, 15.0, 6.0, 28.0, 31.0, 17.0, 13.0, 4.0, 24.0, 5.0, 13.0, 13.0, 25.0, 8.0, 20.0, 0.0, 22.0, 3.0, 10.0, 3.0, 7.0, 20.0, 1.0, 23.0, 4.0, 5.0, 29.0]",True,2000,0.25,4096
47,16,10.0,34021,52.298326299998735,"[13.0, 5.0, 30.0, 12.0, 22.0, 25.0, 12.0, 16.0, 2.0, 0.0, 1.0, 17.0, 29.0, 1.0, 24.0, 14.0, 3.0, 20.0, 11.0, 16.0, 31.0, 28.0, 18.0, 21.0, 28.0, 8.0, 27.0, 7.0, 17.0, 10.0, 6.0, 23.0]",True,2000,0.25,4096
48,32,8.0,66039,132.86618949999684,"[6.0, 4.0, 23.0, 18.0, 14.0, 17.0, 11.0, 2.0, 0.0, 5.0, 26.0, 12.0, 1.0, 30.0, 27.0, 12.0, 21.0, 16.0, 25.0, 19.0, 7.0, 9.0, 31.0, 3.0, 6.0, 10.0, 28.0, 8.0, 22.0, 13.0, 28.0, 24.0]",True,2000,0.25,4096
49,64,8.0,130071,353.5497599999944,"[6.0, 4.0, 23.0, 18.0, 14.0, 17.0, 11.0, 2.0, 0.0, 5.0, 26.0, 12.0, 1.0, 30.0, 27.0, 12.0, 21.0, 16.0, 25.0, 19.0, 7.0, 9.0, 31.0, 3.0, 6.0, 10.0, 28.0, 8.0, 22.0, 13.0, 28.0, 24.0]",True,2000,0.25,4096
50,128,8.0,258135,790.0567593000014,"[6.0, 4.0, 23.0, 18.0, 14.0, 17.0, 11.0, 2.0, 0.0, 5.0, 26.0, 12.0, 1.0, 30.0, 27.0, 12.0, 21.0, 16.0, 25.0, 19.0, 7.0, 9.0, 31.0, 3.0, 6.0, 10.0, 28.0, 8.0, 22.0, 13.0, 28.0, 24.0]",True,2000,0.25,4096
51,256,8.0,442227,1422.8096091999978,"[6.0, 4.0, 23.0, 18.0, 14.0, 17.0, 11.0, 2.0, 0.0, 5.0, 26.0, 12.0, 1.0, 30.0, 27.0, 12.0, 21.0, 16.0, 25.0, 19.0, 7.0, 9.0, 31.0, 3.0, 6.0, 10.0, 28.0, 8.0, 22.0, 13.0, 28.0, 24.0]",True,2000,0.25,4096
52,512,8.0,442227,1422.8096091999978,"[6.0, 4.0, 23.0, 18.0, 14.0, 17.0, 11.0, 2.0, 0.0, 5.0, 26.0, 12.0, 1.0, 30.0, 27.0, 12.0, 21.0, 16.0, 25.0, 19.0, 7.0, 9.0, 31.0, 3.0, 6.0, 10.0, 28.0, 8.0, 22.0, 13.0, 28.0, 24.0]",True,2000,0.25,4096
53,1024,8.0,442227,1422.8096091999978,"[6.0, 4.0, 23.0, 18.0, 14.0, 17.0, 11.0, 2.0, 0.0, 5.0, 26.0, 12.0, 1.0, 30.0, 27.0, 12.0, 21.0, 16.0, 25.0, 19.0, 7.0, 9.0, 31.0, 3.0, 6.0, 10.0, 28.0, 8.0, 22.0, 13.0, 28.0, 24.0]",True,2000,0.25,4096
54,2048,8.0,442227,1422.8096091999978,"[6.0, 4.0, 23.0, 18.0, 14.0, 17.0, 11.0, 2.0, 0.0, 5.0, 26.0, 12.0, 1.0, 30.0, 27.0, 12.0, 21.0, 16.0, 25.0, 19.0, 7.0, 9.0, 31.0, 3.0, 6.0, 10.0, 28.0, 8.0, 22.0, 13.0, 28.0, 24.0]",True,2000,0.25,4096
55,4096,8.0,442227,1422.8096091999978,"[6.0, 4.0, 23.0, 18.0, 14.0, 17.0, 11.0, 2.0, 0.0, 5.0, 26.0, 12.0, 1.0, 30.0, 27.0, 12.0, 21.0, 16.0, 25.0, 19.0, 7.0, 9.0, 31.0, 3.0, 6.0, 10.0, 28.0, 8.0, 22.0, 13.0, 28.0, 24.0]",True,2000,0.25,4096
56,0,29.0,2000,1.897289799999271,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",True,2000,0.5,4096
57,1,17.0,4002,6.787938200002827,"[21.0, 31.0, 30.0, 28.0, 29.0, 21.0, 13.0, 6.0, 20.0, 27.0, 13.0, 30.0, 25.0, 1.0, 3.0, 22.0, 4.0, 27.0, 27.0, 24.0, 15.0, 7.0, 0.0, 4.0, 0.0, 27.0, 16.0, 19.0, 21.0, 10.0, 17.0, 2.0]",True,2000,0.5,4096
58,2,17.0,6003,11.342761300002167,"[21.0, 31.0, 30.0, 28.0, 29.0, 21.0, 13.0, 6.0, 20.0, 27.0, 13.0, 30.0, 25.0, 1.0, 3.0, 22.0, 4.0, 27.0, 27.0, 24.0, 15.0, 7.0, 0.0, 4.0, 0.0, 27.0, 16.0, 19.0, 21.0, 10.0, 17.0, 2.0]",True,2000,0.5,4096
59,4,17.0,10005,20.9898119999998,"[21.0, 31.0, 30.0, 28.0, 29.0, 21.0, 13.0, 6.0, 20.0, 27.0, 13.0, 30.0, 25.0, 1.0, 3.0, 22.0, 4.0, 27.0, 27.0, 24.0, 15.0, 7.0, 0.0, 4.0, 0.0, 27.0, 16.0, 19.0, 21.0, 10.0, 17.0, 2.0]",True,2000,0.5,4096
60,8,17.0,18009,39.76107290000073,"[21.0, 31.0, 30.0, 28.0, 29.0, 21.0, 13.0, 6.0, 20.0, 27.0, 13.0, 30.0, 25.0, 1.0, 3.0, 22.0, 4.0, 27.0, 27.0, 24.0, 15.0, 7.0, 0.0, 4.0, 0.0, 27.0, 16.0, 19.0, 21.0, 10.0, 17.0, 2.0]",True,2000,0.5,4096
61,16,14.0,34019,75.31360480000149,"[15.0, 23.0, 30.0, 28.0, 16.0, 0.0, 5.0, 10.0, 0.0, 13.0, 6.0, 31.0, 7.0, 0.0, 0.0, 25.0, 24.0, 22.0, 31.0, 18.0, 21.0, 27.0, 11.0, 5.0, 29.0, 3.0, 9.0, 2.0, 28.0, 1.0, 28.0, 22.0]",True,2000,0.5,4096
62,32,8.0,66040,153.8582411000025,"[19.0, 24.0, 13.0, 2.0, 16.0, 26.0, 8.0, 4.0, 30.0, 9.0, 25.0, 29.0, 21.0, 3.0, 5.0, 28.0, 20.0, 24.0, 7.0, 11.0, 27.0, 1.0, 10.0, 31.0, 0.0, 30.0, 3.0, 1.0, 6.0, 23.0, 14.0, 26.0]",True,2000,0.5,4096
63,64,6.0,130074,364.90520720000495,"[17.0, 24.0, 13.0, 2.0, 16.0, 26.0, 8.0, 4.0, 30.0, 9.0, 25.0, 29.0, 21.0, 3.0, 5.0, 28.0, 20.0, 20.0, 7.0, 11.0, 27.0, 1.0, 10.0, 31.0, 0.0, 30.0, 3.0, 1.0, 6.0, 23.0, 14.0, 26.0]",True,2000,0.5,4096
64,128,6.0,258138,802.5795751000041,"[17.0, 24.0, 13.0, 2.0, 16.0, 26.0, 8.0, 4.0, 30.0, 9.0, 25.0, 29.0, 21.0, 3.0, 5.0, 28.0, 20.0, 20.0, 7.0, 11.0, 27.0, 1.0, 10.0, 31.0, 0.0, 30.0, 3.0, 1.0, 6.0, 23.0, 14.0, 26.0]",True,2000,0.5,4096
65,256,6.0,474246,1533.5627357000049,"[17.0, 24.0, 13.0, 2.0, 16.0, 26.0, 8.0, 4.0, 30.0, 9.0, 25.0, 29.0, 21.0, 3.0, 5.0, 28.0, 20.0, 20.0, 7.0, 11.0, 27.0, 1.0, 10.0, 31.0, 0.0, 30.0, 3.0, 1.0, 6.0, 23.0, 14.0, 26.0]",True,2000,0.5,4096
66,512,6.0,474246,1533.5627357000049,"[17.0, 24.0, 13.0, 2.0, 16.0, 26.0, 8.0, 4.0, 30.0, 9.0, 25.0, 29.0, 21.0, 3.0, 5.0, 28.0, 20.0, 20.0, 7.0, 11.0, 27.0, 1.0, 10.0, 31.0, 0.0, 30.0, 3.0, 1.0, 6.0, 23.0, 14.0, 26.0]",True,2000,0.5,4096
